year,date,sample_id,fl,sex,maturity,age_capture,1,2,3,4,5,6,7,8,9
2017,2017-05-08,St53-17,350,f,immature,4,75,96,267,337,,,,,
2017,2017-04-26,St04-17,450,f,mature,6,102,175,293,355,405,450,,,
2017,2017-05-01,St07-17,375,f,mature,4,82,141,275,375,,,,,
2017,2017-05-01,St08-17,425,f,mature,5,90,200,299,365,425,,,,
2017,2017-05-02,St14-17,350,f,mature,4,103,159,301,350,,,,,
2017,2017-05-02,St17-17,430,f,mature,5,86,173,278,352,430,,,,
2017,2017-05-02,St19-17,450,f,mature,6,119,179,288,360,408,450,,,
2017,2017-05-02,St20-17,460,f,mature,5,114,217,321,428,460,,,,
2017,2017-05-02,St29-17,430,f,mature,7,78,145,254,312,364,401,430,,
2017,2017-05-08,St52-17,375,f,mature,4,109,232,301,375,,,,,
2017,2017-05-08,St56-17,370,f,mature,5,83,168,285,313,370,,,,
2017,2017-05-08,St58-17,405,f,mature,4,86,193,331,405,,,,,
2017,2017-05-08,St61-17,450,f,mature,7,88,218,290,353,406,428,450,,
2017,2017-05-10,St64-18,420,f,mature,5,82,143,254,373,420,,,,
2017,2017-05-10,St65-18,470,f,spent,8,89,142,239,325,395,427,449,470,
2017,2017-05-02,St15-17,340,,immature,4,82,135,256,340,,,,,
2017,2017-05-01,St27-17,390,,immature,5,73,153,253,350,390,,,,
2017,2017-05-01,St28-17,320,,immature,4,97,149,278,320,,,,,
2017,2017-05-08,St30-17,325,,immature,4,68,122,255,325,,,,,
2017,2017-05-08,St51-17,335,,immature,5,73,107,157,244,335,,,,
2017,2017-05-08,St55-17,310,,immature,3,94,236,304,,,,,,
2017,2017-05-10,St62-17,330,,immature,4,65,106,240,322,,,,,
2017,2017-05-10,St63-17,340,,immature,4,93,154,289,340,,,,,
2017,2017-05-10,St66-19,335,,immature,3,99,217,318,,,,,,
2017,2017-05-08,St22-17,320,,immature,4,79,148,245,320,,,,,
2017,2017-05-01,St26-17,410,m,immature,5,81,147,261,367,410,,,,
2017,2017-05-01,St10-17,475,m,mature,6,94,201,266,352,454,475,,,
2017,2017-05-02,St16-17,460,m,mature,5,86,202,293,364,460,,,,
2017,2017-05-08,St59-17,545,m,mature,8,104,210,301,364,423,503,524,545,
2017,2017-05-08,St60-17,455,m,mature,5,85,195,295,417,455,,,,
1988,,2,350,f,immature,4,95.31914894,162.3404255,256.1702128,323.1914894,,,,,
