year,date,survey_day,nlanes,reach
1988,1988-07-13,1,3,1
1988,1988-07-13,1,3,2
1988,1988-07-13,1,3,3
1988,1988-07-13,1,3,4
1988,1988-07-14,2,3,1
1988,1988-07-14,2,3,2
1988,1988-07-14,2,3,3
1988,1988-07-14,2,3,4
1988,1988-07-15,3,3,1
1988,1988-07-15,3,3,2
1988,1988-07-15,3,3,3
1988,1988-07-15,3,3,4
1988,1988-07-13,1,3,5
1988,1988-07-13,1,3,6
1988,1988-07-13,1,3,7
1988,1988-07-14,2,3,8
1989,1989-07-17,1,3,1
1989,1989-07-17,1,3,2
1989,1989-07-17,1,3,3
1989,1989-07-17,1,3,4
1989,1989-07-18,2,3,1
1989,1989-07-18,2,3,2
1989,1989-07-18,2,3,3
1989,1989-07-18,2,3,4
1989,1989-07-19,3,3,1
1989,1989-07-19,3,3,2
1989,1989-07-19,3,3,3
1989,1989-07-19,3,3,4
1989,1989-07-18,2,3,5
1989,1989-07-18,2,3,6
1989,1989-07-18,2,3,7
1989,1989-07-18,2,3,8
1990,1990-07-17,2,3,1
1990,1990-07-17,2,3,2
1990,1990-07-17,2,3,3
1990,1990-07-17,2,3,4
1990,1990-07-16,1,3,1
1990,1990-07-16,1,3,2
1990,1990-07-16,1,3,3
1990,1990-07-16,1,3,4
1990,1990-07-18,3,3,1
1990,1990-07-18,3,3,2
1990,1990-07-18,3,3,3
1990,1990-07-18,3,3,4
1990,1990-07-17,2,3,5
1990,1990-07-17,2,3,6
1990,1990-07-17,2,3,7
1990,1990-07-17,2,3,8
1991,1991-07-15,1,3,1
1991,1991-07-15,1,3,2
1991,1991-07-15,1,3,3
1991,1991-07-15,1,3,4
1991,1991-07-16,2,3,1
1991,1991-07-16,2,3,2
1991,1991-07-16,2,3,3
1991,1991-07-16,2,3,4
1991,1991-07-17,3,3,1
1991,1991-07-17,3,3,2
1991,1991-07-17,3,3,3
1991,1991-07-17,3,3,4
1991,1991-07-16,2,3,5
1991,1991-07-16,2,3,6
1991,1991-07-16,2,3,7
1991,1991-07-16,2,3,8
1992,1992-07-13,1,3,1
1992,1992-07-13,1,3,2
1992,1992-07-13,1,3,3
1992,1992-07-13,1,3,4
1992,1992-07-14,2,3,1
1992,1992-07-14,2,3,2
1992,1992-07-14,2,3,3
1992,1992-07-14,2,3,4
1992,1992-07-15,3,3,1
1992,1992-07-15,3,3,2
1992,1992-07-15,3,3,3
1992,1992-07-15,3,3,4
1992,1992-07-14,2,3,5
