year,abundance
2022,125931
2021,117701
2020,44371
2019,46103
2018,177199
2017,90998
2016,30119
2015,101255
2014,506157
2013,97757
2012,137992
2011,85174
2010,202783
2009,27541
2008,159737
2007,41328
2006,147189
2005,175299
2004,86738
2003,78093
2002,322711
2001,151409
2000,371604
1999,138137
1998,185697
1997,55385
1996,333172
1995,122780
1994,138178
1993,91443
1992,97985
1991,94931
1990,93928
1989,43189
1988,367751
1987,211111
1986,77378
1985,42296
1984,60973
1983,121739
1982,69434
1981,22021
1980,72073
1979,290116
1978,60421
1977,23452
1976,150741
1975,176079
1974,41473
1973,30755
1972,36771
1971,39726
1970,45876
1969,49341
1968,30420
1967,91525
1966,101684
1965,39418
1964,31047
1963,138805
1962,124495
1961,47241
1960,38884
1959,79355
1958,112273
1957,38921
1956,38459
1955,51746
1954,141882
1953,43688
1952,40466
1951,96208
1950,145108
1949,104835
1948,16213
1947,59904
1946,245172
1945,20826
1944,5768
1943,14897
1942,91840
1941,8566
1940,3276
1939,2585
1938,6943
